document_id,clean_text,sentiment
12,"We all walk into John Wick 4 with expectations of what we will see, standards we refuse to lower and excitement already creeping in. From the first second it engages you, no hesitation, no quarter. And it's only the beginning. I read somewhere that a reviewer had said that there wasn't a wasted moment in this film and I watched it questioning the validity. They weren't wrong. Each conversation has a purpose, each scene makes a point. From the gunfight samurai scene in Tokyo to the phosphorus gunfight shot from above in Paris, the action doesn't diminish. Normally a sequel is ""lesser"" but John Wick 4 simply builds onto the quadrilogy. It makes sense, it continues the story and the characters get all the more interesting.I can tell you right now, if the phosphorus gunfight scene doesn't impress you (which it will), the Paris traffic carnage scene is brilliant. I can't say I have ever seen someone do full continuous 360 drifting in a muscle car either :DI know Keanu said that Chad Stahelski and himself were taking a long break from the John Wick series but should we have seen the end, it ended on a note I feel we could live with. If they can find another story that will build onto the John Wick series then so be it but if not, I truly left the movie happy and felt it was done.Don't leave until after the credits are done. Trust me, it's not finished.",POSITIVE
13,"The story was ok but could have been better flushed out. Fight scenes are great but they were way too long and so unrealistic. Not nearly as good as the other 3 movies. If they would have given us a little more background on some of the new characters it would have made more sense and given them more depth. In previous movies John would use his Krav Magra skills to take down or slow down someone then a double tap to the head would usually be sufficient. Those fight scenes were outstanding and believable. Almost all of fights in this movie ridiculous. People were shot and stabbed several times and looked like they weren't hurt. How many times did John get hit by a car and just walked away? How many times do you have to hit someone in the face with nunchucks before they go down. I used to think John was special. The Baba Yaga. But in this version he is made to look almost invincible. Really, did they have to get so far away from reality this time. I left somewhat disappointed. Was I watching a movie or a video game?",NEGATIVE
14,"In my opinion this is by far the worst movie of the franchise. It's just way too over the top. Everybody seems to have magical jackets now to stop the bullets.Audience loved the dogs on the third one so that just lazily copied one here also but didn't bother to have any real cool scenes with it.I'm happy they made John Wick 1 but since then every movie getting worse and worse. This one was already so bad that I regret spending any money to see it.People shooting and dying in center of Paris but police doesn't seem to care.John Wick getting shot, falling from great heights etc without any issues.",NEGATIVE
15,"That lasted 169 minutes? I had no idea. The time just flew right by.Chad Stahelski does not pull any punches (or engage the safety) at any time in this gun-fu epic. Combat scenes are not moments so much as they are entire acts. The amount of stunt choreography that everybody had to synchronize to was rather incredible, and they continue to find more ways to entertain us with kills, kill types, use of weapons, locations, teamwork, etc. I caught myself smiling for minutes on end several times while watching it.Of course though, as I said, they really lean into it. I'm sure this has been true of previous films as well, but it is very apparent that John Wick should virtually die in every scene that he is in. Whether it is how he is attacked or how they fail to attack him at the right times, he goes at every foe like the bear in The Revenant with full adrenaline and no signs of slowing down no matter what he is hit by. And again, I think if you look hard enough you will find enemies who have clear shots and choose not to take them because of plot armor, but you can forgive it enough if you're rewarded with a longer take or overall longer action sequence. What I really loved was how many of these scenes took place at night with dazzlingly lit environments all around, and the music in every scene kicks as much *** as what you see on screen. I had pondered over why John Wick doesn't have a video game yet, but if they ever make one I have decided I'd like one of those top-down shooter games (similar to The Hong Kong Massacre, and if not maybe like the GTA:SA MP rampage style).I acknowledge this franchise for what it is now, but I still pine for some of the missing components that I don't know if it'll ever be able to bring back. After watching John Wick, fun as it was, I found myself interested in seeing a prequel when he was the Baba Yaga in his prime, taking missions rather than being hunted. Even still, at least in that movie he was absolutely feared. In Chapter 2, I still found him heavily respected, but it was in that movie that I realized there would probably be a repetitive formula to the narrative and movie/action structure (which still has yet to break). In Chapter 3, there only lived assassins and they would go after him without hesitation, which did is not how I felt the world breathed the first time around. They continue down this path in Chapter 4, while opening the universe more to different characters breeding their own kind of loyalty. They are all insanely fun to watch, and you see the cogwheels of the John Wick universe spinning with the future Continental television show and the Ballerina movie spinoff. Where they remain faulty though is even with the existence of civilians during fight scenes, they act as droning NPC's like nothing is happening around them, or they aren't there whatsoever. It is clear that this is not our world that this movie takes place in, but rather a parallel one.I mentioned the introduction of new characters in this world, and you can't not bring up Donnie Yen when talking about them. He steals each and every scene that he is in, and it's crazy because you wonder how a character like his could thrive in such a world but you absolutely believe it when you watch it. I will absolutely take more of him and Rina Sawayama. She isn't featured as much, but she makes use of every second that she is in front of the camera. There are plenty of others (such as the great Hiroyuki Sanada), but the point remains that Wick is relegated to this greater universe with characters who-good, bad, or for themselves-are ones we can actually root for in any fight. Keanu Reeves is understandably less nimble at his age than the others (and it's either bad acting or he really has taken on this John Wick role in his line delivery to hilarious new heights), but he and Stahelski have found a groove that still makes him the most impenetrable force around, to the point that I go back and watch the action scenes in The Matrix Resurrections and wonder what happened there. I didn't love one particular character in their big fighting moment(s), but they go for versatility and I have to give them that much.March has had an incredible run of theatrical films, and John Wick: Chapter 4 is no different. You will lean forward during the action which there is plenty, and if I'm one to go off of you will not feel the runtime. There is an end credits scene as well if you're able to stay for a moment longer. I would love to go back and see this one again.",NEGATIVE
16,"I never read the good reviews in anything. Movies, TV, Videogames... Never... I always read the bad reviews only.When i see many reviews that say ""worst movie ever"" the chances are high that the movie is decent and worth a view. Those people never watch actually bad movies or they would know that there is no one worst movie ever... There is thousands of them...When i see many reviews that say ""I'll never get those 2 hours back"" or ""i wasted 2 hours of my life"" i know that the movie is pretty good and I'm gonna like it. To those people... Just sleep less time some days. Even 5 minutes less a day can get you your wasted hours back in no time...But when i see even just one review that complain about that the fourth movie of a franchise is the worst and the whole franchise sucks and yet they have sit through the whole franchise since they are able to criticize it, then the movie is a masterpiece...
And Chapter 4 is a masterpiece...
Enjoy if you are an action fan, you deserve thisðŸ‘ðŸ‘ðŸ‘Update: When i see reviews with the expression ""Are people blind""? The movie is probably an 11/10. Blind people have their other senses very enhanced and know better from people with mediocre levels of all of their sense and are completely ignorant about what subjective means...",NEGATIVE
17,"John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that it solidifies Reeves and Director, Chad Stahelski, as the greatest martial arts action pairing of modern times.The film opens in New York City, the home of the notorious Continental Hotel, and takes us to Osaka Japan, Paris France, and Berlin Germany. Each of those cities plays a major role in Reeves' quest to seek revenge against the High Table for the acts outlined in the prior films, and to seek his unconditional freedom from service to their order.As the story unfolds we learn a bit more about Wick's past and upbringing than we did in the prior films, but not enough to get bogged down in. He uses his connections to his past, and the help of some old friends to find a path to level the playing field with the High Table's Emissary, The Marquis, played masterfully by Bill SkarsgÃ¥rd. SkarsgÃ¥rd makes the character memorable, and unique, with just a hint of Santino from the second installment.Keanu Reeves as John Wick in John Wick 4. Photo Credit: Murray Close
Hiroyuki Sanada and Reeves are reunited, having starred in 47 Ronin together. Sanada, as is always the case, is a strong presence in the film and makes the most of every scene he is in. He is a great addition to the film. The Osaka Continental fight scenes are groundbreaking, and among the best and most exciting in the entire series. This is some of the best fight and action choreography you will see; only topped by other scenes in this same movie.Scott Adkins plays an unusually larger than life villain adeptly. The action and violence around the Berlin scenes involving his character, and his relationship to Reeves' past is fun to watch. Adkins is great to watch, whether starring in his own projects, or supporting, as he is here.Shamier Anderson and Clancy Brown are new to the series and add great value. Anderson as a cunning assassin conflicted between admiration and greed. Clancy Brown is a strong presence and welcome replacement in the role of Adjudicator. I found Asia Kate Dillon's version of the same character to be the weakest part of the prior film, and, perhaps, of the whole series.Mark Zaror, another great martial artist also has a prominent role as The Marquis' right hand man.Ian McShane and Laurence Fishburne return and offer more than just familiarity to the cast. Their roles are significant and meaningful.Donnie Yen brings not only his skills as one of the finest martial arts movie stars in the world, but lends his presence as a charismatic and riveting figure. He plays the role of Caine with complexity and humanity that is a terrific mirror to Reeves' Wick; his friend and adversary by circumstance. This was a fantastic choice to take the Wick series to a new level.Keanu Reeves continues to be engaging, empathetic, and dynamic in the role of John Wick. While the series has strayed a bit from the deeply reluctant anti-hero of the first film; we continue to cheer for the good guy caught up in a bad, bad world. One of the great strengths of the film is that Reeves and Stahelski are not afraid the let characters other than Wick shine. In fact, all of the stars of this one have their deeply profound and memorable moments in and out of the company of the main character. This really works.As for the fight and action choreography. The stunt team at 87eleven continue to elevate the game. The film has three major, larger than life action sequences, that each, individually, outdo anything you will see in any other non John Wick movie. As mentioned previously, the Osaka and Berlin scenes were high energy, high body count affairs. They were complete with gun fights, sword mastery, gun play, and one of the best nunchuck displays you will ever see outside of a Bruce Lee movie. As for the scenes in Paris, at the Arc De Tripomphe, and on the Church steps, they are unlikely to be forgotten and, unlikely, to be topped for years to come, if ever. They are unique and exciting and violent feasts for the eyes.While I have heard some say that John Wick: Chapter 4 is the best installment in the series I have to disagree, Nothing can top the original, in my opinion; however, Chapter 4 is a worthy installment for sure.Will there be a Chapter 5 to the JohnWick saga? Remember, I said this was a Spoiler free review....John Wick: Chapter 4 earns a 5 out of 5 star rating. It is worth seeing, and probably seeing again. I predict a significant box office gross for this one, and it is well deserved.",POSITIVE
18,"Indiana jones, terminator, predator, Jurassic park, the matrix, Jason bourne, etc. All amazing franchises but all share a common trait of having a bad or forgettable movie or 2 at some point. This is why john wick is the best action action movie franchise of all time; The movies just keep getting better and better. In john wick 4, when the action starts in Osaka Japan, it never let's up despite it's almost 3 hour running time. What I really enjoyed the most about JW4 is the cast of characters. Great villains and allies really keep this movie interesting as john trots the globe for 3 hours. The sound engineering, editing, direction, cinematography are excellent as always. The color schemes throughout this franchise (more john wick 2, 3 and especially 4) are such a treat for the eyeballs. Best action franchise EVER. And the shotgun fight in Paris with the ""dragons breath"" is the best action sequence I've probably ever seen in my life.",POSITIVE
19,"I'm gonna have to rewatch this one another day. But I found myself beginning to doze off repeatedly like an hour 1/2 into the movie. I can't quite put my finger on it. The villain was definitely boring, the story line and dialogues seemed a bit stretched out. The fight scenes and overall feel of them didn't quite do it for me like the first 3 movies did. I think there's gonna be mixed reviews on this one. I felt there were several plot holes. And I'm in limbo about how I feel about the ending. It seemed fitting but then also didn't...? Lol. Idk man I just think some lazy writing went into play on this one.",NEGATIVE
20,"John Wick series have always been over-the-top action / thriller joyrides more focused on dazzling you with visceral, expertly choreographed action sequences than trying to tell the most coherent stories about stylish assassins. Director Chad Stahelski's John Wick: Chapter 4 is no exception. And it abundantly delivers on the franchise's hallmarks - snazzy guns, lovable dogs, and one very haggard man in black. John Wick: Chapter 4 isn't a movie you casually sit down to watch apropos of nothing. It's a commitment, both in terms of how long it is and in how invested you really have to be in the idea of John Wick for the film to be engaging. To its credit, John Wick: Chapter 4 does an admirable job of leaving open possibilities for a future filled with stories of some of the movie's new supporting characters. It comes as a pleasant surprise given how much time this story spends trying to remind you that Wick is the baddest man in town. It's a movie that's meant to be watched loud and big. Remember ! John Wick has fought hard for it.",POSITIVE
21,"Think it's gone too far past how great JW1 was,just over hyped now. How is all this action happening with no police any where?A blind man shooting people but no one can shoot him ?? The main body guard for the main villain should of been killed plenty of times,JW puts bullets in people who you know are dead but leaves this guy in the middle of the road when he's the main threat??How is all the violance happening in the street and night club and no one batters an eye lid ??why did he leave the underground to go to the church that's obviously miles away to then end up in a shootout ? Surly he got of go there easier ? The overlay of the radio DJ at the end was annoying,how did she know where he wa aging to be constantly??",NEGATIVE
22,Quite possibly the best action movie of the decade. It's only 2023. This one is currently number one. Terminator 2 is the best action movie of all time. The raid 2 is the best action sequel of all time. This movie is the best 4th movie in a series of all time. Props to lethal weapon 4 as well. Keanu is a bad ass ok. He moves a little slow in the beginning but by the time the second half comes along he moves like a martial arts madman. That being said.. the nunchucks he incorporates into his character in that first half is brilliant. The set pieces in this are absolutely fantastic. The music is perfectly incorporated as well. There were a few nods to some classic flicks too. Movie buffs will catch them.,POSITIVE
23,"Unpopular Opinion - John Wick 4 is a below average movie.I loved all 3 John wick movies, but this one is more likely a conclusion of John wick series, So the fight scenes are boring and repetitive. Previous movies had different types of action and stunt choreographies. This one has long same fights , might be in different locations.As far Keanu goes, his close up shots or his face doesnt appear in the movie atleast for a half time. John wick past movies had few dialogues but it had an impact, 4 has same few dialogues but it was very plain and flat.Ending is Spoiler - John Wick Dies (or not) shown in a way that if there is a possibility of a sequel , there can be.May stunts shots and its accuracy is totally gone, we can clearly see that where the gun is aimed and it just went like a paper plane. Even with the so-called Coat Armour, some pistol shots were directly aimed at Head / Leg which was again repelled with the armor which is in the shoulder.The sad thing is this is the same with Balayya movies, but when it directed and taken in Hollywood people go crazy!An average movie 6/10.",NEGATIVE
24,What is all the raving about with this movie? I felt it lacked a decent storyline and was 2 hours and 35 mins of fighting while the remaining 10 or so minutes was acting.The usual far too long fighting scenes where he does his usual MMA moves by getting the enemies head between his legs while he reloads his gun and shoots him the head.For me it was at least an hour too long and could have been much shorter. The storyline was very weak and after such a long gap between this and John Wick 3 I am surprised it was written better.I also have no idea why this review has to be a minimum go 600 characters?Yes we.,NEGATIVE
25,"In a world where movie sequels seem to be loathed even before they are released, the 'John Wick' series has remained remarkably consistent and well received. In fact all three of the first films have the same IMDb rating of 7.4/10 and I noticed recently that I gave them all the same rating of 8/10. Incredibly, I think 'John Wick: Chapter 4' is the best the series has to offer. This movie was a wild ride.I was a little disappointed when I first saw the runtime for this one was going to be almost 3 hours. I find that is becoming a tough runtime for a lot of films to justify. This film does it with no trouble. The pacing is so incredibly fast that the 3 hours pass by in no time. I remember looking down at my watch early in the film thinking maybe 20-25 minutes had gone by and almost an hour had already passed.A large reason for this is the action sequences. When an action sequence starts in this film buckle in, because it is going to go for nearly 20-30 minutes and be non-stop craziness the for the duration.The action sequences in this film are perfectly shot as they always are in this series. Lovely, wide camera angles so we can see every thing that happens and know that it isn't all being edited to look this way. These people are actually doing these things.As always with these films you need to go in a rather incredible suspension of belief. Wick is nearing super-human level at this point. It doesn't matter how many cars you hit him with or how high the building he falls off is, he'll be back and fighting again 10 seconds later. It's best to switch your brain off at these points I have found.Finally, I loved the main villain in this movie played excellently by Bill SkarsgÃ¥rd. He was everything a villain should be. Calm and seemingly in control, menacing and easy for the audience to hate and root against.This film was a blast from start to finish. 9/10.",POSITIVE
